trade_date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
2000-01-04,,,,,,,,,,
2000-01-05,,,,,,,,,,
2000-01-06,,,,,,,,,,
2000-01-07,,,,,,,,,,
2000-01-10,0.012649450604961483,0.00865947657057276,0.014033107841486514,0.012525243918735366,0.019634311219804676,0.019043762659119324,0.023684562141042885,0.025682634194768735,0.0299659643027098,0.04222607324700513
2000-01-11,-0.029033416336111686,-0.03675691167215836,-0.04697855291877832,-0.04114012668623924,-0.04582360818506104,-0.047781105081219265,-0.04258807847362936,-0.041801233015803636,-0.047944799584086616,-0.03972717156859996
2000-01-12,-0.021876909145570684,-0.02346120544132161,-0.021849327280607345,-0.028259825165904768,-0.027904072329238142,-0.02526043807852411,-0.026061906417379155,-0.029975251822177137,-0.034074722704997874,-0.044832555684176045
2000-01-13,-0.007971762052923778,-0.0038446076916768684,-0.00873832772224863,-0.004221268879780105,-0.009045149778497982,-0.010032438619351476,-0.012199887114624233,-0.008536029355443432,-0.010408979046695646,-0.01304153545315576
2000-01-14,-0.007821428995987192,-0.010201830057124852,-0.014644507399620536,-0.01211521654809781,-0.004686619102022917,-0.009978705496668515,-0.013989136037427798,-0.014109610469260124,-0.012373158612844761,-0.007198740810015939
2000-01-17,0.016373295332788446,0.011716016429450114,0.011161945192588518,0.011303960197995058,0.013333518813649615,0.020936007890469503,0.01665928931126918,0.023290497176539148,0.0223772087707328,0.029606820852041013
2000-01-18,0.0019313735481375988,0.001803177825420609,0.009117689134465874,0.007297760616931393,0.0012799906207448502,0.0004959139765924468,0.0034156742955374023,-0.009316216714267151,-0.010918965100206027,-0.022994113983698453
2000-01-19,0.02086200390721531,0.014339989067429433,0.010579723421338188,0.008141656844790209,0.011242969833866173,0.014054686778674207,0.01430533467656611,0.010405755624517331,0.007308005377244489,0.010271034692196439
2000-01-20,0.014988482584900091,0.009939167216608516,0.012602967435682453,0.01462781744084416,0.013065356582126495,0.021496223646467878,0.017811605852071255,0.02096541085288333,0.02229946821296091,0.03447170460772318
2000-01-21,0.002120298119904366,-0.007655263846375471,-0.007512143844835274,-0.006119013831292541,-0.004866516021995548,0.006587122468863407,0.009068981031834986,0.004436331412852191,0.015379556184960608,0.021588451842526307
2000-01-24,0.01060817812850906,0.0012635876047037591,-0.0024713202544789778,0.006805859392750248,0.01659865505822799,0.010706442484947806,0.02684937545721629,0.015532565366416274,0.017634938961674968,0.03584863412318765
